Author,n
J. K. Rowling,7
Dan Brown,3
Roald Dahl,3
Suzanne Collins,3
Albert Camus,2
E. L. James,2
Erskine Caldwell,2
George Orwell,2
Ken Follett,2
Agatha Christie,1
